2024-09-23 16:31:03,584|parse_article_get_dy|line:233| processing article 39095542
2024-09-23 16:31:07,752|main|line:504| ==================================================2024-09-24 00:31==================================================
2024-09-23 16:31:07,752|main|line:516| https://t.bilibili.com/979065390320582665
2024-09-23 16:31:12,515|get_uid_oid|line:334| =========此为子动态=========
2024-09-23 16:31:14,129|parse_origin_dy|line:397| *************原动态已存在***************
2024-09-23 16:31:16,965|get_son_lucky_dy|line:358| *********子动态开始*********
2024-09-23 16:31:24,743|to_repost|line:472| 转发成功 980415122455396358
2024-09-23 16:31:28,412|to_comment|line:491| 评论发送成功
2024-09-23 16:31:34,620|to_follow|line:421| 626347730 === 已经关注了
2024-09-23 16:31:34,621|get_son_lucky_dy|line:372| ----完成一个子动态----
2024-09-23 16:31:50,898|to_repost|line:472| 转发成功 980415234092040225
2024-09-23 16:31:54,549|to_comment|line:491| 评论发送成功
2024-09-23 16:32:02,691|to_follow|line:421| 433865481 === 已经关注了
2024-09-23 16:32:02,692|get_son_lucky_dy|line:372| ----完成一个子动态----
2024-09-23 16:32:11,590|to_repost|line:472| 转发成功 980415324326199297
2024-09-23 16:32:15,210|to_comment|line:491| 评论发送成功
2024-09-23 16:32:20,229|to_follow|line:421| 2140091933 === 已经关注了
2024-09-23 16:32:20,229|get_son_lucky_dy|line:372| ----完成一个子动态----
2024-09-23 16:32:37,190|to_repost|line:472| 转发成功 980415431687798800
2024-09-23 16:32:40,895|to_comment|line:491| 评论发送成功
2024-09-23 16:32:43,853|to_follow|line:421| 346469145 === 已经关注了
2024-09-23 16:32:43,853|get_son_lucky_dy|line:372| ----完成一个子动态----
2024-09-23 16:32:58,381|to_repost|line:472| 转发成功 980415526168690704
2024-09-23 16:33:01,934|to_comment|line:491| 评论发送成功
2024-09-23 16:33:07,807|to_follow|line:421| 417333631 === 已经关注了
2024-09-23 16:33:07,807|get_son_lucky_dy|line:372| ----完成一个子动态----
2024-09-23 16:33:19,353|to_repost|line:472| 转发成功 980415616390266884
2024-09-23 16:33:22,859|to_comment|line:491| 评论发送成功
2024-09-23 16:33:27,755|to_follow|line:421| 430040367 === 已经关注了
2024-09-23 16:33:27,756|get_son_lucky_dy|line:372| ----完成一个子动态----
2024-09-23 16:33:36,643|to_repost|line:472| 转发成功 980415689396322308
2024-09-23 16:33:40,155|to_comment|line:491| 评论发送成功
2024-09-23 16:33:48,018|to_follow|line:421| 571307144 === 已经关注了
2024-09-23 16:33:48,019|get_son_lucky_dy|line:372| ----完成一个子动态----
2024-09-23 16:33:55,526|to_repost|line:472| 转发成功 980415770968195096
2024-09-23 16:33:59,077|to_comment|line:491| 评论发送成功
2024-09-23 16:34:05,137|to_follow|line:421| 480520643 === 已经关注了
2024-09-23 16:34:05,137|get_son_lucky_dy|line:372| ----完成一个子动态----
2024-09-23 16:34:16,912|to_repost|line:472| 转发成功 980415861176139801
2024-09-23 16:34:20,587|to_comment|line:491| 评论发送成功
2024-09-23 16:34:27,696|to_follow|line:421| 333641046 === 已经关注了
2024-09-23 16:34:27,696|get_son_lucky_dy|line:372| ----完成一个子动态----
2024-09-23 16:34:40,547|to_repost|line:472| 转发成功 980415964281569282
2024-09-23 16:34:44,169|to_comment|line:491| 评论发送成功
2024-09-23 16:34:50,181|to_follow|line:421| 258852214 === 已经关注了
2024-09-23 16:34:50,181|get_son_lucky_dy|line:372| ----完成一个子动态----
2024-09-23 16:35:08,401|to_repost|line:472| 转发成功 980416084535410689
2024-09-23 16:35:12,035|to_comment|line:491| 评论发送成功
2024-09-23 16:35:21,110|to_follow|line:421| 1221637505 === 已经关注了
2024-09-23 16:35:21,111|get_son_lucky_dy|line:372| ----完成一个子动态----
2024-09-23 16:35:21,111|get_son_lucky_dy|line:377| *********子动态结束*********
2024-09-23 16:35:21,111|main|line:534| -=-=-=-=处理回最初的动态-=-=-=-=
2024-09-23 16:35:27,949|to_repost|line:472| 转发成功 980416166124060713
2024-09-23 16:35:31,662|to_comment|line:491| 评论发送成功
2024-09-23 16:35:34,299|to_follow|line:421| 447408756 === 已经关注了
2024-09-23 16:35:37,755|to_thumbsUp|line:500| 动态-点赞 0
2024-09-23 16:35:38,755|main|line:516| https://t.bilibili.com/975365937437868032
2024-09-23 16:35:38,755|main|line:518| 已有
2024-09-23 16:35:38,756|main|line:516| https://t.bilibili.com/979173709381107730
2024-09-23 16:35:40,269|get_uid_oid|line:339| =========此为源动态=========
2024-09-23 16:35:42,817|get_son_lucky_dy|line:358| *********子动态开始*********
2024-09-23 16:35:42,817|get_son_lucky_dy|line:377| *********子动态结束*********
2024-09-23 16:35:42,818|main|line:534| -=-=-=-=处理回最初的动态-=-=-=-=
2024-09-23 16:35:53,424|to_repost|line:472| 转发成功 980416277800550408
2024-09-23 16:35:56,967|to_comment|line:491| 评论发送成功
2024-09-23 16:36:05,155|to_follow|line:433| 关注 ==== 476258320 0
2024-09-23 16:36:08,817|to_thumbsUp|line:500| 动态-点赞 0
2024-09-23 16:36:09,817|main|line:516| https://t.bilibili.com/980236705228390432
2024-09-23 16:36:12,341|get_uid_oid|line:339| =========此为源动态=========
2024-09-23 16:36:16,042|get_son_lucky_dy|line:358| *********子动态开始*********
2024-09-23 16:36:16,042|get_son_lucky_dy|line:377| *********子动态结束*********
2024-09-23 16:36:16,043|main|line:534| -=-=-=-=处理回最初的动态-=-=-=-=
2024-09-23 16:36:26,862|to_repost|line:472| 转发成功 980416419526082569
2024-09-23 16:36:30,527|to_comment|line:491| 评论发送成功
2024-09-23 16:36:32,251|to_follow|line:421| 489004577 === 已经关注了
2024-09-23 16:36:35,758|to_thumbsUp|line:500| 动态-点赞 0
2024-09-23 16:36:36,758|main|line:516| https://t.bilibili.com/979874459052670999
2024-09-23 16:36:38,266|get_uid_oid|line:339| =========此为源动态=========
2024-09-23 16:36:40,775|get_son_lucky_dy|line:358| *********子动态开始*********
2024-09-23 16:36:40,775|get_son_lucky_dy|line:377| *********子动态结束*********
2024-09-23 16:36:40,775|main|line:534| -=-=-=-=处理回最初的动态-=-=-=-=
